번호,한정,패스 갯수,가격,캐릭터 목록
'18-13,12,9,16,【수기사 리오 교네루 드히나 임시노 쿠로코 미카 수시노 와카모 드아코 수우이 수나타】 / 드아루 아코 히마리 우이 슌 체리노 가피나 네루 노아 뉴리카 라로코 레이사 마리나 마시로 마키 모에 미나 미네 미도리 미유 바토키 사야 사오리 세나 수카모 수후미 아리스 아즈사 아츠코 에이미 온구레 온나츠 온도카 온리노 유즈 이로하 이즈나 이즈미 츠쿠요 치히로 카즈사 카호 칸나 코유키 키쿄 하루나 호시노 히나 히비키 히후미
'21-10,20,8,19,【수기사 수미카 드히나 임시노 수나코 와카모 수이아 미카 수시노 히카리 세이아 수요리 드아코 미사카미코토 마코토 수우이 수즈나 바카린 수즈사 수시로】 / 아코 우이 슌 네루 뉴리카 라로코 루미 마리나 마키 메도리 메루 모에 미나 미야코 미유 바카네 사오리 세나 수노미 수리카 수모에 수이미 아루 아리스 어린슌 에이미 온구레 유카리 응타하 이로하 이오리 이즈나 이즈미 츠루기 치히로 카린 카스미 카즈사 칸나 호시노 히요리 히후미
'21-4,18,8,19,【리오 교네루 임시노 쿠로코 드히나 수시노 와카모 수이아 미카 세이아 수요리 드아코 수우이 뉴후카 뉴츠키 수즈나 수즈사 수시로】 / 수로코 코코나 히마리 슌 네루 드오리 드요쿄 라로코 레이죠 루미 마시로 마키 미나 미도리 미사키 미유 바카네 밴나츠 사복사야 사야 사오리 세나 수노미 수모리 수모에 수야코 수카모 수후미 스미레 아루 아리스 어린슌 에이미 온구레 온도카 운루나 이치카 치히로 칸나 코하루 크나에 크리나 파우카 하루나 호시노 히나 히비키
'20-1,19,8,20,【수기사 수미카 리오 교네루 드히나 임시노 수시노 와카모 수이아 수스미 세이아 교스나 수우이 수즈나 운유카 바네루 바카린 수즈사 수시로】 / 키사키 아코 뉴요코 우이 슌 나츠 뉴리카 라로코 레이사 메도리 메루 미나 미도리 미사키 바스나 바토키 밴나츠 사야 사오리 사쿠라코 수모리 수사키 수야코 시로코 아리스 아즈사 어린슌 에이미 온나츠 온도카 온리노 이로하 이오리 이즈나 이즈미 츠루기 치아키 카에데 칸나 코유키 코하루 크나에 호시노 히나 히요리 히후미
'20-18,18,8,18,【수기사 수미카 리오 드히나 수나코 미카 수시노 와카모 수이아 수요리 나기사 뉴츠키 수즈사 수시로 수히나 수즈나 바카린 바네루】 / 코코나 뉴요코 우이 슌 체리노 히나타 나츠 뉴카리 드요코 라로코 레이사 레이죠 렌게 마리나 메루 미도리 미사키 미유 바스나 바카네 사복사야 사오리 세나 수노미 수모리 수모에 수부키 수이미 수후미 스미레 시구레 시로코 아루 어린슌 에이미 온나츠 온도카 온리노유즈 유카리 응타하 응토리 이로하 이즈나 이즈미 치히로 카즈사 코유키 크리나 호시노 히비키 히요리 히후미
'5-13,17,8,17,【수기사 수미카 임시노 쿠로코 수나코 미카 수시노 와카모 수이아 수요리 싸오리 드아코 마코토 미사카미코토 수우이 운유카 수즈나】 / 수로코 아코 히마리 뉴요코 우이 슌 체리노 히나타 나츠 네루 노아 뉴리카 드요코 라로코 마리나 마시로 미도리 미모리 바카네 바토키 사복사야 사야 사키 수모리 수부키 수사키 수야코 수카리 수키쿄 시구레 시로코 아루 아리스 아즈사 어린슌 에이미 온도카 온리노 유즈 유카리 응타하 이로하 이오리 이즈나 이즈미 츠루기 치히로 카린 카즈사 칸나 캠타마 코하루 하루나 호시노 히나 히비키 히요리
'21-29,16,8,16,【리오 교네루 드히나 임시노 미카 와카모 수나코 수시노 세이아 교스나 수요리 드아코 마코토 수즈나 수치세 수즈사】 / 아코 뉴요코 우이 체리노 나츠 라로코 레이사 루미 마리나 마키 메구 모에 미네 미노리 미도리 미사키 미야코 미유 바카네 바토키 사야 사오리 사쿠라코 사키 세나 수사키 수후미 스미레 시로코 아리스 아즈사 아츠코 어린슌 에이미 온리노 운루나 유즈 유카리 이로하 이오리 이즈나 이즈미 츠루기 츠쿠요 치히로 카호 크리나 하루나 히나 히비키
'16-16,16,8,17,【수기사 리오 드히나 임시노 수나코 미카 수시노 와카모 수이아 세이아 수요리 수우이 운유카 수즈나 수즈사 수치세】 / 키사키 아코 슌 체리노 뉴루카 뉴리카 라로코 레이사 루미 마리나 마키 메리스 메모이 모에 미네 미모리 미야코 미유 바스나 사복사야 사츠키 사키 세나 수카모 수후미 스미레 시로코 아루 아즈사 아츠코 온구레 온도카 유즈 응타하 이로하 이즈나 이즈미 츠루기 츠쿠요 치히로 카린 카에데 카즈사 카호 칸나 파노아 파우카 호시노 히비키 히요리 히후미
'20-28,16,8,17,【수기사 수미카 리오 임시노 수나코 미카 수시노 와카모 수이아 세이아 뉴스나 드아코 마코토 뉴츠키 수즈사 수히나】 / 키사키 수로코 아코 뉴요코 슌 체리노 네루 노아 뉴리카 라로코 마키 모에 미노리 미도리 미모리 미사키 바스나 바카네 사복사야 사야 사츠키 사키 세나 수노미 수모리 스미레 아츠코 어린슌 에이미 온리노 우미카 유카리 응타하 이로하 이오리 이즈나 치히로 카에데 카즈사 카호 칸나 코유키 파우카 호시노 히나 히비키 히후미
'7-36,15,8,15,【수기사 교네루 드히나 임시노 수나코 미카 수시노 와카모 세이아 교스나 드아코 수우이 뉴츠키 수즈사】 / 캠하레 아코 뉴요코 우이 슌 네루 뉴리카 라로코 루미 마리나 마시로 마키 메구 미도리 미모리 미사키 미유 바스나 바토키 사복사야 사키 수노미 수부키 수야코 수카리 수카모 수후미 아루 아리스 아츠코 어린슌 온구레 온나츠 유즈 응타하 이노리 이로하 이오리 이즈나 이즈미 츠루기 츠쿠요 카린 카에데 크리나 하루나 히비키 히후미
